"gamma","gamma_max","n","B","median_Ea","median_Etau","median_ES","median_Dprop","mean_Ea","mean_Etau","mean_ES","mean_Dprop","q25_Ea","q75_Ea","q25_Etau","q75_Etau","q25_ES","q75_ES","q25_Dprop","q75_Dprop","convergence_rate"
0,0.5,500,500,0.0412959068198719,0.0371022555159349,0.0698125797780323,0.0387973441239916,0.0452439822722207,0.0443381089143113,0.0754300494210733,0.0399024801055927,0.0278895693772813,0.0587647891413208,0.0194216915542394,0.0615041739462016,0.0480695495682936,0.0964672122504924,0.032132426523583,0.0463704067554126,1
0.1,0.5,500,500,0.0446603681418278,0.0333620200127572,0.074195410992448,0.0464202668131454,0.0470755169433299,0.0407258427205838,0.0786646979397473,0.0478207330601429,0.0273559927062095,0.0624586176493453,0.0149047953742566,0.0607337479434046,0.0530901384981048,0.095805440670332,0.0405304831584022,0.0537419284504725,1
0.25,0.5,500,500,0.0639828508300998,0.0338288117699751,0.0883621881770002,0.0719530169761004,0.0651372497260973,0.0442790636960161,0.0943177795941613,0.0728968886169636,0.0424189653589243,0.0867461568039946,0.0169565080585676,0.0639549289395306,0.0729393488371431,0.109663396332937,0.0661790894116245,0.078820516984353,1
0.5,0.5,500,500,0.100518183402592,0.0532294294809441,0.126592462355068,0.118925292739066,0.100166130801793,0.0608006374272657,0.131713986830426,0.119851481396909,0.0777212390178583,0.119476144166678,0.0242630914608907,0.0890918008381532,0.112141575980192,0.145597563493681,0.112011628891538,0.126866144379096,1
