"delta","n","B","median_Ea","median_Etau","median_ES","mean_Ea","mean_Etau","mean_ES","boundary_rate","tau_boundary_rate","convergence_rate"
0.02,100,500,0.192442866158873,0.187218677537977,0.287623330741695,0.223134390564569,0.317399347150265,0.43436186715395,0.004,0,1
0.05,100,500,0.192442978441564,0.187214918997075,0.287623181346469,0.222768686558231,0.284595672503444,0.402143079406066,0.008,0,1
0.1,100,500,0.192442123765491,0.187217607124523,0.287500783501968,0.220899630081726,0.256596622233135,0.373679743255091,0.026,0,1
