"pair","D_rs"
"VISp-VISl",0.0996709339065997
"VISp-VISrl",0.081138047237635
"VISp-VISal",0.109210247987573
"VISp-VISam",0.0466304727236415
"VISl-VISrl",0.285057996090799
"VISl-VISal",0.22469315819635
"VISl-VISam",0.169341432114007
"VISrl-VISal",0.098751074107385
"VISrl-VISam",0.116272915351172
"VISal-VISam",0.0565252360386161
