"component","area","k","eigenvalue","peak_50ms_left","peak_50ms_right","peak_50ms_tv_share","tv_q10_time","tv_median_time","tv_q90_time","tv_share_0_250","tv_share_0_500","tv_share_0_1000"
"shared","shared",1,26570.6000997708,0.15,0.2,0.0514063144759055,0.1625,0.8275,1.6775,0.189000325800671,0.346527466454514,0.583195832601165
"idiosyncratic","VISal",1,1645.87224701249,0.05,0.1,0.0409849295204556,0.1575,0.9125,1.7725,0.14785248659294,0.311989418747514,0.554903312443618
"idiosyncratic","VISam",1,4213.92236993884,0.35,0.4,0.0474343770355738,0.2375,0.8075,1.7425,0.103468337704544,0.305573618238029,0.580764085146649
"idiosyncratic","VISl",1,1730.78091606362,0.25,0.3,0.0478639883267421,0.1825,0.8825,1.7125,0.131417148320882,0.286666051207551,0.548532099936919
"idiosyncratic","VISp",1,664.121769120741,0.2,0.25,0.0396513273813209,0.2025,0.9675,1.7975,0.135795618224887,0.262533862657924,0.524108167769667
"idiosyncratic","VISrl",1,4612.93045971169,0.1,0.15,0.0423795448770192,0.1725,0.9675,1.7525,0.143659314241533,0.231025656004334,0.513273992150452
