"","VISp-VISl","VISp-VISrl","VISp-VISal","VISp-VISam","VISl-VISrl","VISl-VISal","VISl-VISam","VISrl-VISal","VISrl-VISam","VISal-VISam"
"VISp-VISl",1,0.99850419342162,0.998201327754254,0.998331366623999,0.9880125341127,0.998895990948696,0.998488117953157,0.990966443478942,0.995647592799992,0.995900234486411
"VISp-VISrl",0.99850419342162,1,0.998382677166684,0.99890667629208,0.987653238491079,0.998017204028334,0.996351336841962,0.993191135513376,0.997361321257235,0.995924986152066
"VISp-VISal",0.998201327754254,0.998382677166684,1,0.999082563833566,0.991980498329838,0.998941133380433,0.996414351435447,0.995446476829164,0.995859120433108,0.998938748559118
"VISp-VISam",0.998331366623999,0.99890667629208,0.999082563833566,1,0.988311576650095,0.998580381698907,0.997675652973855,0.994044187825003,0.998173466024122,0.998061396626826
"VISl-VISrl",0.9880125341127,0.987653238491079,0.991980498329838,0.988311576650095,1,0.992066827048321,0.985601101989627,0.995805850192912,0.984363982311733,0.992311259806626
"VISl-VISal",0.998895990948696,0.998017204028334,0.998941133380433,0.998580381698907,0.992066827048321,1,0.99776806701928,0.994581604976784,0.995911043743695,0.99760126556114
"VISl-VISam",0.998488117953157,0.996351336841962,0.996414351435447,0.997675652973855,0.985601101989627,0.99776806701928,1,0.990602202620537,0.997051069348344,0.995602045697125
"VISrl-VISal",0.990966443478942,0.993191135513376,0.995446476829164,0.994044187825003,0.995805850192912,0.994581604976784,0.990602202620537,1,0.993497446438512,0.996626201095315
"VISrl-VISam",0.995647592799992,0.997361321257235,0.995859120433108,0.998173466024122,0.984363982311733,0.995911043743695,0.997051069348344,0.993497446438512,1,0.995575112593703
"VISal-VISam",0.995900234486411,0.995924986152066,0.998938748559118,0.998061396626826,0.992311259806626,0.99760126556114,0.995602045697125,0.996626201095315,0.995575112593703,1
