"area","k","eigenvalue","bin_left","bin_right","signed_mass","tv_mass","tv_share"
"VISal",1,1645.87224701249,0,0.05,0.0563429744768752,0.0601517903444946,0.0273328463236827
"VISal",1,1645.87224701249,0.05,0.1,0.0687068297179535,0.0901961273481513,0.0409849295204556
"VISal",1,1645.87224701249,0.1,0.15,0.0639522814854386,0.0673687308614679,0.0306122088322277
"VISal",1,1645.87224701249,0.15,0.2,-0.00034941394568419,0.0374750680683266,0.0170285916780675
"VISal",1,1645.87224701249,0.2,0.25,0.0297075742824455,0.0701893896893747,0.0318939102385063
"VISal",1,1645.87224701249,0.25,0.3,0.0229831032617557,0.0788120838861701,0.035812044246278
"VISal",1,1645.87224701249,0.3,0.35,0.0390450061269727,0.0518001547979981,0.0235378807933727
"VISal",1,1645.87224701249,0.35,0.4,0.0620418942845264,0.0714700707584354,0.0324758490079064
"VISal",1,1645.87224701249,0.4,0.45,0.0689722786741344,0.0797272136188577,0.0362278772614972
"VISal",1,1645.87224701249,0.45,0.5,0.0555196639842377,0.0794089981942583,0.0360832808455204
"VISal",1,1645.87224701249,0.5,0.55,0.0146102781791993,0.03802476383945,0.0172783722739707
"VISal",1,1645.87224701249,0.55,0.6,0.066305932191607,0.0666886854362739,0.0303031976291779
"VISal",1,1645.87224701249,0.6,0.65,0.0552145733123124,0.0594700448674315,0.0270230626206589
"VISal",1,1645.87224701249,0.65,0.7,-0.0238646402074679,0.0605176345785386,0.0274990851699459
"VISal",1,1645.87224701249,0.7,0.75,0.0173053245755783,0.0398521447495583,0.0181087302949834
"VISal",1,1645.87224701249,0.75,0.8,0.0117636178517327,0.0337389381239507,0.0153309021325013
"VISal",1,1645.87224701249,0.8,0.85,0.00827792973859831,0.0274659634063906,0.0124804756869133
"VISal",1,1645.87224701249,0.85,0.9,0.0665578288097195,0.0764740646680264,0.0347496532579907
"VISal",1,1645.87224701249,0.9,0.95,0.0238676118821899,0.0553201134449635,0.025137342558554
"VISal",1,1645.87224701249,0.95,1,0.0712419121239736,0.0770317671170682,0.0350030720714075
"VISal",1,1645.87224701249,1,1.05,0.00160169526151999,0.0231678466011617,0.0105274205002639
"VISal",1,1645.87224701249,1.05,1.1,-0.00287331192743712,0.0653232911946768,0.0296827653733285
"VISal",1,1645.87224701249,1.1,1.15,0.00707800028762018,0.038539533505369,0.0175122825215307
"VISal",1,1645.87224701249,1.15,1.2,0.0160089607078836,0.0570549785205315,0.0259256615800038
"VISal",1,1645.87224701249,1.2,1.25,0.0429431230418325,0.0608171926213361,0.0276352037110884
"VISal",1,1645.87224701249,1.25,1.3,0.0116480141471246,0.0699577080694674,0.0317886346003801
"VISal",1,1645.87224701249,1.3,1.35,0.0140315248403656,0.0368028941846456,0.0167231572868345
"VISal",1,1645.87224701249,1.35,1.4,-0.00359838229576659,0.0595707668296281,0.0270688304672745
"VISal",1,1645.87224701249,1.4,1.45,0.0215746266002432,0.0465537146497939,0.0211539094851871
"VISal",1,1645.87224701249,1.45,1.5,0.023381851510568,0.0446156211425225,0.0202732438941583
"VISal",1,1645.87224701249,1.5,1.55,0.000526283839940467,0.0285335628165906,0.0129655906011516
"VISal",1,1645.87224701249,1.55,1.6,-0.0101173375783375,0.0557377033643095,0.0253270945347867
"VISal",1,1645.87224701249,1.6,1.65,0.0120447401080032,0.0377348555970028,0.0171466385817
"VISal",1,1645.87224701249,1.65,1.7,-0.0282265181094383,0.0516116785968166,0.0234522376061448
"VISal",1,1645.87224701249,1.7,1.75,0.030250077482798,0.0522541756579572,0.0237441869119759
"VISal",1,1645.87224701249,1.75,1.8,0.0199559019682862,0.0554224745659109,0.0251838552354394
"VISal",1,1645.87224701249,1.8,1.85,0.0123081064651082,0.0345308078867922,0.0156907260780923
"VISal",1,1645.87224701249,1.85,1.9,0.0272587731053496,0.0696988045642121,0.0316709893951206
"VISal",1,1645.87224701249,1.9,1.95,0.0189730936660534,0.0471709581513114,0.0214343836269317
"VISal",1,1645.87224701249,1.95,2,-0.0151830070234661,0.0444321512543827,0.0201898755649893
"VISam",1,4213.92236993884,0,0.05,0.0228817050355665,0.0361614107646844,0.0235536773478298
"VISam",1,4213.92236993884,0.05,0.1,-0.0145564174737423,0.0272584734290694,0.0177547632840064
"VISam",1,4213.92236993884,0.1,0.15,0.00891661058360433,0.0300529994938629,0.0195749733886002
"VISam",1,4213.92236993884,0.15,0.2,0.0230029443094941,0.0307200893574448,0.020009481309518
"VISam",1,4213.92236993884,0.2,0.25,-0.0096243902157565,0.0346595494557547,0.0225754423745896
"VISam",1,4213.92236993884,0.25,0.3,0.0341802382829385,0.0529158603628451,0.0344666614275591
"VISam",1,4213.92236993884,0.3,0.35,0.0600671277223569,0.0600671277223569,0.0391246280403691
"VISam",1,4213.92236993884,0.35,0.4,0.0728248912906308,0.0728248912906308,0.0474343770355738
"VISam",1,4213.92236993884,0.4,0.45,0.0467125202676423,0.0527481712585239,0.03435743739635
"VISam",1,4213.92236993884,0.45,0.5,0.0717314666461033,0.0717314666461033,0.0467221766336327
"VISam",1,4213.92236993884,0.5,0.55,0.0648037846254702,0.0648037846254702,0.0422098419754476
"VISam",1,4213.92236993884,0.55,0.6,0.0226716752146254,0.0281380404798946,0.0183276678826608
"VISam",1,4213.92236993884,0.6,0.65,0.0492060415879917,0.0492060415879917,0.0320502768730286
"VISam",1,4213.92236993884,0.65,0.7,0.0713773753454368,0.0713773753454368,0.0464915398285079
"VISam",1,4213.92236993884,0.7,0.75,0.0282862744432499,0.0379962772668232,0.0247488147236626
"VISam",1,4213.92236993884,0.75,0.8,0.0233242629386466,0.0428594020787377,0.0279164033298551
"VISam",1,4213.92236993884,0.8,0.85,0.0322216220368609,0.0389212979172761,0.0253513254520915
"VISam",1,4213.92236993884,0.85,0.9,0.00614916165675661,0.0203660435917548,0.0132653900793191
"VISam",1,4213.92236993884,0.9,0.95,0.0231608764388218,0.0279621917322745,0.0182131290807757
"VISam",1,4213.92236993884,0.95,1,0.0408630424810592,0.0408630424810592,0.0266160776832715
"VISam",1,4213.92236993884,1,1.05,0.0261411275276828,0.0332816892861298,0.0216779753460779
"VISam",1,4213.92236993884,1.05,1.1,0.0376824585772924,0.0416076036500737,0.027101046415681
"VISam",1,4213.92236993884,1.1,1.15,0.0252822467018433,0.0278620579676264,0.0181479071125429
"VISam",1,4213.92236993884,1.15,1.2,0.0252883715227024,0.0272008141048761,0.0177172069749624
"VISam",1,4213.92236993884,1.2,1.25,0.0198820742219223,0.0305822272586613,0.0199196850508938
"VISam",1,4213.92236993884,1.25,1.3,0.0117493093292912,0.0241643820606169,0.0157394317956562
"VISam",1,4213.92236993884,1.3,1.35,0.00601458186259751,0.0199830630364591,0.0130159363041712
"VISam",1,4213.92236993884,1.35,1.4,0.0457466409163924,0.0457466409163924,0.0297970017514923
"VISam",1,4213.92236993884,1.4,1.45,0.0389814474856086,0.0412311786707548,0.0268558626045118
"VISam",1,4213.92236993884,1.45,1.5,0.0210180041644935,0.0407431200371943,0.0265379663903261
"VISam",1,4213.92236993884,1.5,1.55,0.0247931610880552,0.037034937278063,0.0241226474520323
"VISam",1,4213.92236993884,1.55,1.6,0.0230810985864733,0.0305567236720343,0.0199030733303353
"VISam",1,4213.92236993884,1.6,1.65,0.00314122230212288,0.0150606312309197,0.00980971818207291
"VISam",1,4213.92236993884,1.65,1.7,0.0291487883707358,0.045553474865516,0.029671183351693
"VISam",1,4213.92236993884,1.7,1.75,0.0208234362507798,0.0324134288550442,0.0211124352961955
"VISam",1,4213.92236993884,1.75,1.8,0.0115075074611113,0.0310840990893269,0.020246578469029
"VISam",1,4213.92236993884,1.8,1.85,-0.000610333366607207,0.0222406556681394,0.0144864156716787
"VISam",1,4213.92236993884,1.85,1.9,0.000143825697532796,0.0304256691071483,0.0198177111480805
"VISam",1,4213.92236993884,1.9,1.95,0.0160455436214326,0.0325558511599151,0.0212052018377968
"VISam",1,4213.92236993884,1.95,2,0.00631698115215529,0.0343148614154283,0.0223509303681212
"VISl",1,1730.78091606362,0,0.05,0.0159554409214897,0.0283173367266564,0.0209604505923422
"VISl",1,1730.78091606362,0.05,0.1,0.0265283552075279,0.03063763976536,0.022677935455819
"VISl",1,1730.78091606362,0.1,0.15,0.0519777442013896,0.0551748839128044,0.040840367134664
"VISl",1,1730.78091606362,0.15,0.2,0.0260790347122904,0.0292578779957703,0.0216566378429872
"VISl",1,1730.78091606362,0.2,0.25,0.0341553742469471,0.0341553742469471,0.0252817572950698
"VISl",1,1730.78091606362,0.25,0.3,0.0646637183946937,0.0646637183946937,0.0478639883267421
"VISl",1,1730.78091606362,0.3,0.35,0.0483536728536901,0.0483536728536901,0.0357913168385635
"VISl",1,1730.78091606362,0.35,0.4,0.0227216261886231,0.028617614014783,0.021182715395086
"VISl",1,1730.78091606362,0.4,0.45,0.0343526918325288,0.0369176308578644,0.0273263755363749
"VISl",1,1730.78091606362,0.45,0.5,0.0296860104579876,0.031186913137129,0.0230845067899027
"VISl",1,1730.78091606362,0.5,0.55,0.0386329872312267,0.0406723236477958,0.0301055935635666
"VISl",1,1730.78091606362,0.55,0.6,0.0318700479128984,0.0375254330811043,0.027776269839399
"VISl",1,1730.78091606362,0.6,0.65,0.0386902282458739,0.0442676759748685,0.0327668680167792
"VISl",1,1730.78091606362,0.65,0.7,0.0433087559056787,0.0442178237904607,0.0327299675039137
"VISl",1,1730.78091606362,0.7,0.75,0.0479280690600244,0.0534800476178582,0.0395858518260656
"VISl",1,1730.78091606362,0.75,0.8,0.0146679381420045,0.026121425375526,0.0193350402712789
"VISl",1,1730.78091606362,0.8,0.85,0.0101148278295362,0.0226082092825357,0.0167345629365575
"VISl",1,1730.78091606362,0.85,0.9,0.0126781496831135,0.0266116573107514,0.0196979092217127
"VISl",1,1730.78091606362,0.9,0.95,0.0110211086316233,0.0278948846389918,0.0206477521844164
"VISl",1,1730.78091606362,0.95,1,0.0236610276441059,0.0303786523636437,0.0224862333656785
"VISl",1,1730.78091606362,1,1.05,0.0415996720199405,0.0421012662806204,0.0311632947783287
"VISl",1,1730.78091606362,1.05,1.1,0.0216582279681955,0.0289299007266911,0.0214138695554783
"VISl",1,1730.78091606362,1.1,1.15,0.0258957452765329,0.0258957452765329,0.019167992197151
"VISl",1,1730.78091606362,1.15,1.2,0.0367017011244772,0.037911483713255,0.0280620239440115
"VISl",1,1730.78091606362,1.2,1.25,0.026364968392696,0.0362396233646699,0.026824515396789
"VISl",1,1730.78091606362,1.25,1.3,0.0433519532868964,0.0433519532868964,0.0320890514430385
"VISl",1,1730.78091606362,1.3,1.35,0.0208263929302716,0.0320333798060596,0.0237110601611977
"VISl",1,1730.78091606362,1.35,1.4,0.0221038128382339,0.0324619417602329,0.0240282810832399
"VISl",1,1730.78091606362,1.4,1.45,0.0190025265083178,0.0220396336232829,0.0163137040779432
"VISl",1,1730.78091606362,1.45,1.5,0.0248923784988062,0.0272721585182734,0.0201868112346415
"VISl",1,1730.78091606362,1.5,1.55,0.0229693517262205,0.0344165535614279,0.0254750818357835
"VISl",1,1730.78091606362,1.55,1.6,0.0136263713983876,0.019140905798772,0.014168070047003
"VISl",1,1730.78091606362,1.6,1.65,0.0341484074967643,0.0360549506802673,0.0266878209500428
"VISl",1,1730.78091606362,1.65,1.7,0.0447329039139199,0.0471049409268778,0.0348670073207694
"VISl",1,1730.78091606362,1.7,1.75,0.0236138975847151,0.0254162538361258,0.0188130733450315
"VISl",1,1730.78091606362,1.75,1.8,0.0261108686704934,0.0261108686704934,0.019327226213891
"VISl",1,1730.78091606362,1.8,1.85,-0.0024981761106988,0.0106058951598167,0.00785046784698626
"VISl",1,1730.78091606362,1.85,1.9,0.0186209813042708,0.0273302292092807,0.0202297950738871
"VISl",1,1730.78091606362,1.9,1.95,0.026173774825845,0.0268118421721202,0.0198460857588128
"VISl",1,1730.78091606362,1.95,2,0.0242040724925237,0.0286986090488952,0.021242667799054
"VISp",1,664.121769120741,0,0.05,-0.0109458840524101,0.0847456616634074,0.0153300487442953
"VISp",1,664.121769120741,0.05,0.1,0.0512337589860279,0.146721271965591,0.0265411138093541
"VISp",1,664.121769120741,0.1,0.15,-0.105117059218374,0.177112060765433,0.0320386491938743
"VISp",1,664.121769120741,0.15,0.2,-0.0413028722999033,0.122913871584165,0.0222344790960423
"VISp",1,664.121769120741,0.2,0.25,0.0517742852533664,0.219195517953775,0.0396513273813209
"VISp",1,664.121769120741,0.25,0.3,0.0596277045204815,0.128798656357385,0.0232990060069473
"VISp",1,664.121769120741,0.3,0.35,0.0497445160558086,0.144365219205473,0.0261149161380185
"VISp",1,664.121769120741,0.35,0.4,0.00204909494540024,0.197171272083803,0.0356672560304589
"VISp",1,664.121769120741,0.4,0.45,-0.00128130588139301,0.124823675771789,0.0225799527251775
"VISp",1,664.121769120741,0.45,0.5,0.0329213340968505,0.105459717441259,0.0190771135324346
"VISp",1,664.121769120741,0.5,0.55,0.115739495130375,0.167327496143672,0.0302686724228031
"VISp",1,664.121769120741,0.55,0.6,0.0636683256751763,0.132667035748844,0.0239987756879964
"VISp",1,664.121769120741,0.6,0.65,0.0410508139832388,0.116928156102455,0.021151694345732
"VISp",1,664.121769120741,0.65,0.7,-0.00156298562243906,0.113994102370738,0.0206209393095124
"VISp",1,664.121769120741,0.7,0.75,0.10814118241603,0.178127739386229,0.032222380165581
"VISp",1,664.121769120741,0.75,0.8,0.0502012185424777,0.104219442528762,0.0188527542615089
"VISp",1,664.121769120741,0.8,0.85,0.0681211381591221,0.143861224158242,0.0260237460593468
"VISp",1,664.121769120741,0.85,0.9,-0.0313768546074015,0.12736819976965,0.023040243861651
"VISp",1,664.121769120741,0.9,0.95,0.0825053504218276,0.168251602596645,0.0304358384663612
"VISp",1,664.121769120741,0.95,1,0.0341688132873821,0.193257419751305,0.0349592605312502
"VISp",1,664.121769120741,1,1.05,0.0236624409474357,0.108277937342002,0.0195869148320235
"VISp",1,664.121769120741,1.05,1.1,0.0863082381703867,0.125887340684338,0.0227723641670959
"VISp",1,664.121769120741,1.1,1.15,0.0617839738680345,0.120207351011718,0.0217448836230865
"VISp",1,664.121769120741,1.15,1.2,0.0381953864740823,0.101385566884068,0.018340120919392
"VISp",1,664.121769120741,1.2,1.25,-0.0739961283882223,0.143992551037424,0.026047502407693
"VISp",1,664.121769120741,1.25,1.3,0.045633414220793,0.117190941810983,0.0211992309115214
"VISp",1,664.121769120741,1.3,1.35,-0.0198786445501209,0.120201407897154,0.0217438085446203
"VISp",1,664.121769120741,1.35,1.4,0.0272839868508349,0.0836618798261543,0.0151339982554896
"VISp",1,664.121769120741,1.4,1.45,0.043819653708692,0.140486817731973,0.0254133335145345
"VISp",1,664.121769120741,1.45,1.5,0.0967468775517445,0.168283199212252,0.0304415541295339
"VISp",1,664.121769120741,1.5,1.55,-0.00705490241924289,0.106725351942904,0.0193060602209358
"VISp",1,664.121769120741,1.55,1.6,0.0412366985235565,0.155541859803502,0.0281367122017012
"VISp",1,664.121769120741,1.6,1.65,0.0231620949495271,0.128130536661965,0.0231781466343637
"VISp",1,664.121769120741,1.65,1.7,-0.00749023951212846,0.186875191490082,0.03380474868461
"VISp",1,664.121769120741,1.7,1.75,0.0773078976197311,0.14040744979745,0.0253989762686166
"VISp",1,664.121769120741,1.75,1.8,0.0813271490104919,0.13335822582457,0.0241238083722007
"VISp",1,664.121769120741,1.8,1.85,0.0164984163246085,0.0858266237208225,0.0155255891496168
"VISp",1,664.121769120741,1.85,1.9,0.0314936059361308,0.133578503462403,0.0241636554494313
"VISp",1,664.121769120741,1.9,1.95,0.101958899767697,0.192004191889382,0.034732558139247
"VISp",1,664.121769120741,1.95,2,0.0975611942446115,0.138742888521041,0.0250978658046194
"VISrl",1,4612.93045971169,0,0.05,0.0324371967919676,0.0327091790013044,0.0231818383652942
"VISrl",1,4612.93045971169,0.05,0.1,0.0269094391558311,0.0318463959081995,0.0225703617456007
"VISrl",1,4612.93045971169,0.1,0.15,0.0541161351823125,0.0597968158319806,0.0423795448770192
"VISrl",1,4612.93045971169,0.15,0.2,0.0352051657488203,0.0429477690962092,0.0304381911052733
"VISrl",1,4612.93045971169,0.2,0.25,0.035400685137821,0.035400685137821,0.0250893781483452
"VISrl",1,4612.93045971169,0.25,0.3,0.0247085124836459,0.0337889367190906,0.0239470904948692
"VISrl",1,4612.93045971169,0.3,0.35,0.00183783789150466,0.0185019641238633,0.0131128189350997
"VISrl",1,4612.93045971169,0.35,0.4,0.000292211889528049,0.0232502352551951,0.0164780410911415
"VISrl",1,4612.93045971169,0.4,0.45,0.00865910998302827,0.0214113777428729,0.0151747953684115
"VISrl",1,4612.93045971169,0.45,0.5,0.0181036834799998,0.0263199059894464,0.0186535958732792
"VISrl",1,4612.93045971169,0.5,0.55,0.0196659587492111,0.0282913338866761,0.0200507976453136
"VISrl",1,4612.93045971169,0.55,0.6,0.0291194159593717,0.0318779970067805,0.022592758258807
"VISrl",1,4612.93045971169,0.6,0.65,0.0382700360209646,0.0386059454783279,0.0273610287797889
"VISrl",1,4612.93045971169,0.65,0.7,0.0467338637808098,0.0467338637808098,0.0331214940096541
"VISrl",1,4612.93045971169,0.7,0.75,0.0306856837669515,0.0338614945793431,0.0239985141208929
"VISrl",1,4612.93045971169,0.75,0.8,0.0378518167430869,0.040936720013879,0.0290129087779672
"VISrl",1,4612.93045971169,0.8,0.85,0.0317601514965246,0.0350142511877616,0.024815502446091
"VISrl",1,4612.93045971169,0.85,0.9,0.0438304146797602,0.0444271642563296,0.0314866765924494
"VISrl",1,4612.93045971169,0.9,0.95,0.0509594193060189,0.0509594193060189,0.0361162541405967
"VISrl",1,4612.93045971169,0.95,1,0.0474764496754694,0.0475394043465547,0.0336924013745574
"VISrl",1,4612.93045971169,1,1.05,0.0466098730659669,0.0466098730659669,0.0330336185936991
"VISrl",1,4612.93045971169,1.05,1.1,0.0443415051712041,0.0443415051712041,0.0314259677906228
"VISrl",1,4612.93045971169,1.1,1.15,0.0407856760186036,0.0418296470557116,0.0296457491912022
"VISrl",1,4612.93045971169,1.15,1.2,0.0287725904662672,0.0410828703172903,0.0291164892655907
"VISrl",1,4612.93045971169,1.2,1.25,0.050083039999871,0.050083039999871,0.0354951415342241
"VISrl",1,4612.93045971169,1.25,1.3,0.0221726852945793,0.0331537520506712,0.0234969187459902
"VISrl",1,4612.93045971169,1.3,1.35,0.0261458112519731,0.0261458112519731,0.0185302104448589
"VISrl",1,4612.93045971169,1.35,1.4,0.0235101304699179,0.0348437280902836,0.0246946483310083
"VISrl",1,4612.93045971169,1.4,1.45,0.0229856281845262,0.0229856281845262,0.0162905072388759
"VISrl",1,4612.93045971169,1.45,1.5,0.0328320631219049,0.0341741458538843,0.0242200981389701
"VISrl",1,4612.93045971169,1.5,1.55,0.0270385811134682,0.0367578046182063,0.0260512037091588
"VISrl",1,4612.93045971169,1.55,1.6,0.00796663476707504,0.0343421573100848,0.0243391721891321
"VISrl",1,4612.93045971169,1.6,1.65,0.0175179826883373,0.0270952307198288,0.0192030884967298
"VISrl",1,4612.93045971169,1.65,1.7,0.0413336637805837,0.0413336637805837,0.0292942330582095
"VISrl",1,4612.93045971169,1.7,1.75,0.0244458869207345,0.0289562696705741,0.0205220547766836
"VISrl",1,4612.93045971169,1.75,1.8,0.023972096734256,0.0341186899605412,0.0241807951177652
"VISrl",1,4612.93045971169,1.8,1.85,0.0230840747932142,0.0260921970591301,0.0184922126842755
"VISrl",1,4612.93045971169,1.85,1.9,0.0239594876357567,0.0302771276024192,0.0214581808432635
"VISrl",1,4612.93045971169,1.9,1.95,0.00957145504829637,0.0287793652584354,0.0203966780593975
"VISrl",1,4612.93045971169,1.95,2,0.02052534486807,0.0237595980574101,0.0168390396398905
