"area","block","n","mean","sd"
"VISp",5,34,494.941176470588,105.095033811819
"VISp",6,41,496.585365853659,116.665756674732
"VISl",5,34,330.352941176471,50.6245133776485
"VISl",6,41,278.146341463415,60.5543396362349
"VISrl",5,34,713.823529411765,102.205221531866
"VISrl",6,41,641,102.02107625388
"VISal",5,34,618.558823529412,81.1587263279805
"VISal",6,41,574.853658536585,92.5822771851097
"VISam",5,34,597.911764705882,137.660180560476
"VISam",6,41,618.780487804878,129.932965831447
