"area","a_hat","tau_S_hat","total_trace","shared_trace","rho_shared_raw","rho_shared"
"VISp",0.554968733410542,28441.8119290684,9378.81958222222,8759.8020481687,0.93399835356393,0.93399835356393
"VISl",0.203647337187316,28441.8119290684,2951.11707733333,1179.54559186616,0.399694610873253,0.399694610873253
"VISrl",0.372613011676269,28441.8119290684,8718.40438133333,3948.87415107881,0.452935420102055,0.452935420102055
"VISal",0.417953310830448,28441.8119290684,6918.12582666667,4968.35706454576,0.718165177828175,0.718165177828175
"VISam",0.580527381342707,28441.8119290684,14515.6611884444,9585.23307340893,0.660337338339055,0.660337338339055
