"analysis","n","D_prop","a_VISp","a_VISl","a_VISrl","a_VISal","a_VISam"
"all75",75,0.103245570138409,0.554968733410542,0.203647337187316,0.372613011676269,0.417953310830448,0.580527381342707
"block5",34,0.108754893358273,0.548603442961845,0.222154425168958,0.365453722592142,0.372969259363551,0.614018877528704
"block6",41,0.0915978043429624,0.567559631937435,0.166330394638767,0.353661046518106,0.428873517619298,0.584124673400228
