"area","a_hat","tau_S_hat","total_trace","shared_trace","rho_shared_raw","rho_shared"
"VISp",0.567559631937435,30244.6314852338,10619.0174806663,9742.51973099401,0.917459618908428,0.917459618908428
"VISl",0.166330394638767,30244.6314852338,2904.82203747769,836.741931209019,0.288052734526751,0.288052734526751
"VISrl",0.353661046518106,30244.6314852338,8049.77661511005,3782.88163560246,0.469936225124769,0.469936225124769
"VISal",0.428873517619298,30244.6314852338,7796.61287923855,5562.97050267266,0.713511186054419,0.713511186054419
"VISam",0.584124673400228,30244.6314852338,13941.3881320642,10319.5176847556,0.740207329930185,0.740207329930185
