"area","a_hat","tau_S_hat","total_trace","shared_trace","rho_shared_raw","rho_shared"
"VISp",0.548603442961845,25860.9797523932,7844.85172145329,7783.26884700292,0.992149899496257,0.992149899496257
"VISl",0.222154425168958,25860.9797523932,1881.41006920415,1276.30629508562,0.67837751906234,0.67837751906234
"VISrl",0.365453722592142,25860.9797523932,7672.77250865052,3453.89996022332,0.450150184477551,0.450150184477551
"VISal",0.372969259363551,25860.9797523932,5036.4816717128,3597.41921910831,0.714272274495323,0.714272274495323
"VISam",0.614018877528704,25860.9797523932,15025.7662781142,9750.08543097303,0.648891061561002,0.648891061561002
