"pair","D_rs"
"VISp-VISl",0.0810256473509215
"VISp-VISrl",0.110503172671654
"VISp-VISal",0.134021292844151
"VISp-VISam",0.0715378844502611
"VISl-VISrl",0.202696669103347
"VISl-VISal",0.056247683836082
"VISl-VISam",0.0324337291163313
"VISrl-VISal",0.204996677309693
"VISrl-VISam",0.130240957096838
"VISal-VISam",0.0581220563128134
