"area","k","eigenvalue","bin_left","bin_right","signed_mass","tv_mass","tv_share"
"shared",1,26570.6000997708,0,0.05,0.0259965104722825,0.0259965104722825,0.0232239019391849
"shared",1,26570.6000997708,0.05,0.1,0.0357981925604355,0.0357981925604355,0.0319802042089466
"shared",1,26570.6000997708,0.1,0.15,0.0372025667184205,0.0372025667184205,0.0332347975039099
"shared",1,26570.6000997708,0.15,0.2,0.0575435082405117,0.0575435082405117,0.0514063144759055
"shared",1,26570.6000997708,0.2,0.25,0.0550235388836208,0.0550235388836208,0.0491551076727238
"shared",1,26570.6000997708,0.25,0.3,0.0406540381084327,0.0406540381084327,0.0363181587570677
"shared",1,26570.6000997708,0.3,0.35,0.0375453255367208,0.0375453255367208,0.0335410000303407
"shared",1,26570.6000997708,0.35,0.4,0.0410809559945355,0.0410809559945355,0.0366995445254964
"shared",1,26570.6000997708,0.4,0.45,0.0269346565873321,0.0269346565873321,0.024061991859129
"shared",1,26570.6000997708,0.45,0.5,0.0301186981227975,0.0301186981227975,0.0269064454818096
"shared",1,26570.6000997708,0.5,0.55,0.0233195897332226,0.0233195897332226,0.020832483105908
"shared",1,26570.6000997708,0.55,0.6,0.0281165438667915,0.0281165438667915,0.025117827191744
"shared",1,26570.6000997708,0.6,0.65,0.0210641337152671,0.0210641337152671,0.0188175784730346
"shared",1,26570.6000997708,0.65,0.7,0.0207970943199855,0.0207970943199855,0.0185790196581302
"shared",1,26570.6000997708,0.7,0.75,0.0280031590304826,0.0280031590304826,0.0250165352001656
"shared",1,26570.6000997708,0.75,0.8,0.0352125464009257,0.0352125464009257,0.0314570190301505
"shared",1,26570.6000997708,0.8,0.85,0.0273341984214288,0.0273341984214288,0.0244189213164712
"shared",1,26570.6000997708,0.85,0.9,0.0336105229172009,0.0336105229172009,0.0300258563235263
"shared",1,26570.6000997708,0.9,0.95,0.0227078268196115,0.0227078268196115,0.0202859666058999
"shared",1,26570.6000997708,0.95,1,0.024757638201693,0.024757638201693,0.0221171592416208
"shared",1,26570.6000997708,1,1.05,0.0256521953190711,0.0256521953190711,0.0229163090657921
"shared",1,26570.6000997708,1.05,1.1,0.0226991178419758,0.0226991178419758,0.0202781864677611
"shared",1,26570.6000997708,1.1,1.15,0.0180464999077329,0.0180464999077329,0.0161217846775841
"shared",1,26570.6000997708,1.15,1.2,0.0167696689510833,0.0167696689510833,0.0149811317056492
"shared",1,26570.6000997708,1.2,1.25,0.0255236313295877,0.0255236313295877,0.0228014568248401
"shared",1,26570.6000997708,1.25,1.3,0.0263285063690372,0.0263285063690372,0.0235204894430602
"shared",1,26570.6000997708,1.3,1.35,0.0302674939653148,0.0302674939653148,0.0270393717858713
"shared",1,26570.6000997708,1.35,1.4,0.0387597980300024,0.0387597980300024,0.0346259452625818
"shared",1,26570.6000997708,1.4,1.45,0.033313082667495,0.033313082667495,0.0297601389996839
"shared",1,26570.6000997708,1.45,1.5,0.0262988537029698,0.0262988537029698,0.0234939993258686
"shared",1,26570.6000997708,1.5,1.55,0.0322921274896857,0.0322921274896857,0.0288480718605566
"shared",1,26570.6000997708,1.55,1.6,0.0300946161163339,0.0300946161163339,0.0268849318960841
"shared",1,26570.6000997708,1.6,1.65,0.0193134031611746,0.0193134031611746,0.0172535687666731
"shared",1,26570.6000997708,1.65,1.7,0.0162917552203695,0.0162917552203695,0.0145541889577246
"shared",1,26570.6000997708,1.7,1.75,0.0130621911386288,0.0130621911386288,0.0116690679096275
"shared",1,26570.6000997708,1.75,1.8,0.0207394319068452,0.0207394319068452,0.0185275071203311
"shared",1,26570.6000997708,1.8,1.85,0.0259668374567541,0.0259668374567541,0.0231973936428655
"shared",1,26570.6000997708,1.85,1.9,0.0233137623740129,0.0233137623740129,0.0208272772526457
"shared",1,26570.6000997708,1.9,1.95,0.0142926806865182,0.0142926806865182,0.0127683219278867
"shared",1,26570.6000997708,1.95,2,0.00753909207648373,0.00753909207648373,0.0067350245057475
