"scenario","n","metric","mean","median","q10","q90","scaled_median"
"balanced",100,"EI1",0.294553626380058,0.25553826631428,0.138042505152598,0.488558895557139,2.5553826631428
"balanced",100,"EI2",0.239348580181437,0.214535822903359,0.11556958953419,0.399847821195834,2.14535822903359
"balanced",100,"EI3",0.189986061273099,0.172360882841291,0.098154987243638,0.300457236006498,1.72360882841291
"balanced",100,"ES",0.155361573412764,0.144602860708848,0.0709917545208445,0.253837903222508,1.44602860708848
"balanced",100,"Ea",0.077255543856985,0.0693021144384543,0.0280161283680565,0.1375371684139,0.693021144384543
"balanced",100,"EetaS1",0.0973682397140452,0.0841376836512913,0.0293334505484808,0.185684525778084,0.841376836512913
"balanced",100,"EetaS2",0.103245859682387,0.0885019939809821,0.0386834579767118,0.1888338419522,0.885019939809821
"balanced",100,"EmuS1",0.0931126316241636,0.0807371388028257,0.0287573130314889,0.176982698886062,0.807371388028257
"balanced",100,"EmuS2",0.0574955135924413,0.0514162797982707,0.030018793623857,0.0920430640171802,0.514162797982707
"balanced",100,"Etau",0.0844647970867816,0.0710748746174405,0.0127886328572762,0.175773127285616,0.710748746174405
"balanced",250,"EI1",0.181399744717464,0.163875402605856,0.0894661902003125,0.308288379430287,2.59109762355799
"balanced",250,"EI2",0.154610172432294,0.136020268726499,0.0771907365382278,0.251018339499323,2.15066928561953
"balanced",250,"EI3",0.116381925514785,0.105246817136495,0.0581552440197414,0.18737149793461,1.66409829317282
"balanced",250,"ES",0.0917720615775498,0.0829004421798203,0.0420489846462911,0.153694963393478,1.31077108161663
"balanced",250,"Ea",0.0506005127736425,0.0450868034073706,0.0184392773366279,0.091929181099565,0.712884955917659
"balanced",250,"EetaS1",0.0597612535273179,0.0486988904533373,0.0195369423928096,0.115152561232965,0.769997066777879
"balanced",250,"EetaS2",0.0631711769357794,0.0527155011528698,0.024790388449033,0.116048992220018,0.833505258201503
"balanced",250,"EmuS1",0.0572209154038747,0.0467206631647802,0.0190928513451989,0.109546652339756,0.738718546971181
"balanced",250,"EmuS2",0.0351225611459418,0.031486483952004,0.0189352766198394,0.0560814949209865,0.497845023993362
"balanced",250,"Etau",0.0489845393678533,0.0394712450867808,0.00897977757416184,0.10334977853884,0.624095182784788
"balanced",500,"EI1",0.130633530163598,0.117107674521269,0.0621294430447009,0.220145585146563,2.61860720916479
"balanced",500,"EI2",0.109424995570871,0.0959920384490048,0.051151985647973,0.183554083148082,2.14644723270748
"balanced",500,"EI3",0.0836766215700854,0.074653398534758,0.0437158635515186,0.13297464142799,1.66930073875102
"balanced",500,"ES",0.0685363721995876,0.0635880091538672,0.0333193425494989,0.109221725624773,1.42187111021926
"balanced",500,"Ea",0.0349791473675727,0.0322905387200355,0.0129076101524728,0.0628979322679925,0.722038396080884
"balanced",500,"EetaS1",0.043526782816091,0.0359385713435446,0.012413867025679,0.0892918552166727,0.803610885383916
"balanced",500,"EetaS2",0.0462386624754777,0.0380190194395391,0.0170886161745233,0.0895280676055575,0.850131119046954
"balanced",500,"EmuS1",0.0416112148053768,0.0341285633622089,0.012095599025999,0.0845031449287956,0.763137876523078
"balanced",500,"EmuS2",0.0256523881511613,0.0224983101940564,0.014005865603453,0.0423111095983809,0.503077509727866
"balanced",500,"Etau",0.0374592864587033,0.0317773551920598,0.00672963894632346,0.0786115299685363,0.710563263546015
"balanced",1000,"EI1",0.0893965894227227,0.0786652956299368,0.0421625571698722,0.147805252453046,2.4876150700109
"balanced",1000,"EI2",0.075030605278188,0.0678305653038114,0.0382882781061312,0.120533756769522,2.14499081336835
"balanced",1000,"EI3",0.0611565163632757,0.0576565702513579,0.0327531013137231,0.094917383294914,1.82326084067798
"balanced",1000,"ES",0.0460352461957259,0.0427342969065549,0.0214046880431697,0.0782840510275965,1.35137712430601
