"Regime","EI_min","EI_max","EetaI_min","EetaI_max","EmuI_min","EmuI_max"
"Weak",-0.511708158367174,-0.493561539289314,-0.55131519703103,-0.48764200586335,-0.546865205903416,-0.485900949001707
"Balanced",-0.508143833559824,-0.479711543200008,-0.553609198549978,-0.498388656696015,-0.553470279171793,-0.48906906852421
"Strong",-0.503392071390431,-0.476815474412166,-0.543124801511057,-0.486982084027783,-0.554715376243326,-0.491104592452959
"First-order benchmark",-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
