"Quantity","Area","All_75","Block_5","Block_6"
"Loading a_hat","VISp",0.554968733410542,0.548603442961845,0.567559631937435
"Loading a_hat","VISl",0.203647337187316,0.222154425168958,0.166330394638767
"Loading a_hat","VISrl",0.372613011676269,0.365453722592142,0.353661046518106
"Loading a_hat","VISal",0.417953310830448,0.372969259363551,0.428873517619298
"Loading a_hat","VISam",0.580527381342707,0.614018877528704,0.584124673400228
"Shared variation (%)","VISp",93.399835356393,99.2149899496257,91.7459618908428
"Shared variation (%)","VISl",39.9694610873253,67.837751906234,28.8052734526751
"Shared variation (%)","VISrl",45.2935420102055,45.0150184477551,46.9936225124769
"Shared variation (%)","VISal",71.8165177828175,71.4272274495323,71.3511186054419
"Shared variation (%)","VISam",66.0337338339055,64.8891061561002,74.0207329930185
"D_prop","",0.103245570138409,0.108754893358273,0.0915978043429624
