"Regime","n","sqrt_n_Ea","sqrt_n_Etau","sqrt_n_ES","sqrt_n_Eeta1","sqrt_n_Emu1"
"Weak",100,1.90394049080977,1.76974441248333,2.74301918306453,1.19367439593671,1.15134321451822
"Weak",250,1.88665025924255,1.45229709936274,2.60161690937202,1.21749564038433,1.17790483850944
"Weak",500,1.85556339899442,1.48397068948834,2.59329735562764,1.24527542061468,1.19716040738196
"Weak",1000,1.90330666781724,1.54336683770678,2.59005814951061,1.28523408918381,1.24731799638404
"Balanced",100,0.693021144384543,0.710748746174405,1.44602860708848,0.841376836512913,0.807371388028257
"Balanced",250,0.712884955917659,0.624095182784788,1.31077108161663,0.769997066777879,0.738718546971181
"Balanced",500,0.722038396080884,0.710563263546015,1.42187111021926,0.803610885383916,0.763137876523078
"Balanced",1000,0.711350331355569,0.658436812687274,1.35137712430601,0.774128656676873,0.734331994636006
"Strong",100,0.395277322972144,0.449494398569749,0.994016713458412,0.730624165671729,0.69455797288977
"Strong",250,0.399110401102323,0.415113158356168,0.997433232734792,0.672542828451027,0.642867398818888
"Strong",500,0.373444177447275,0.435458566619533,1.00654393351127,0.719133310714521,0.685609205495859
"Strong",1000,0.381696945615018,0.389806252679661,0.991061922948304,0.739663573352754,0.709067235880296
